total_index,review,review2
12,,
20,"['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['커플', '반주'] ['파티'] ['파티'] ['파티'] ['파티'] ['파티'] ['파티'] ['파티'] ['파티'] ['파티'] ['안주'] ['안주'] ['안주'] ['안주'] ['안주'] ['가족', '선물'] ['가족', '선물'] ['가족', '선물'] ['가족', '선물'] ['가족', '선물']",선물 반주 안주 파티 가족 커플
21,"['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['커플', '명절', '선물'] ['커플', '명절', '선물'] ['커플', '명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['기념일', '선물'] ['기념일', '선물'] ['부모님', '부모님', '선물'] ['부모님', '부모님', '선물'] ['부모님', '부모님', '부모님', '선물'] ['부모님', '부모님', '부모님', '선물'] ['선물', '안주'] ['부모님', '행사', '추천', '선물', '안주', '안주'] ['부모님', '행사', '추천', '선물', '안주', '안주'] ['부모님', '행사', '추천', '선물', '안주', '안주'] ['부모님', '행사', '추천', '선물', '안주', '안주'] ['부모님', '행사', '추천', '선물', '안주', '안주'] ['부모님', '행사', '추천', '선물', '안주', '안주'] ['부모님', '행사', '추천', '선물', '안주', '안주'] ['부모님', '행사', '추천', '선물', '안주', '안주'] ['부모님', '행사', '추천', '선물', '안주', '안주'] ['부모님', '행사', '추천', '선물', '안주', '안주'] ['가족', '친구', '추천', '선물'] ['가족', '친구', '추천', '선물'] ['가족', '친구', '추천', '선물'] ['가족', '친구', '추천', '선물'] ['가족', '친구', '추천', '선물'] ['가족', '친구', '추천', '선물'] ['가족', '친구', '추천', '선물'] ['가족', '친구', '추천', '선물'] ['가족', '친구', '추천', '선물'] ['가족', '친구', '추천', '선물'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['부모님', '부모님', '명절'] ['부모님', '부모님', '명절'] ['부모님', '부모님', '명절'] ['부모님', '부모님', '명절'] ['부모님', '부모님', '명절'] ['부모님', '부모님', '명절'] ['부모님', '부모님', '명절'] ['부모님', '부모님', '명절'] ['부모님', '부모님', '명절'] ['친구', '부모님', '선물'] ['친구', '부모님', '선물'] ['친구', '부모님', '선물'] ['친구', '부모님', '선물'] ['친구', '부모님', '선물'] ['친구', '부모님', '선물'] ['친구', '부모님', '선물'] ['친구', '부모님', '선물'] ['가족', '명절', '명절', '명절', '명절', '선물'] ['가족', '명절', '명절', '명절', '명절', '선물'] ['가족', '명절', '명절', '명절', '명절', '선물'] ['가족', '명절', '명절', '명절', '명절', '선물'] ['가족', '명절', '명절', '명절', '명절', '선물'] ['가족', '명절', '명절', '명절', '명절', '선물'] ['가족', '명절', '명절', '명절', '명절', '선물'] ['부모님', '행사', '선물'] ['부모님', '행사', '선물'] ['부모님', '행사', '선물'] ['부모님', '행사', '선물'] ['부모님', '행사', '선물'] ['부모님', '행사', '선물'] ['부모님', '행사', '선물']",명절 선물 기념일 안주 행사 가족 추천 커플 친구 부모님
24,"['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구', '선물'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['친구'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['추천'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물']",명절 선물 추천 친구
26,"['캠핑', '계절', '추천'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['계절'] ['계절'] ['계절'] ['계절'] ['계절'] ['계절'] ['계절'] ['계절'] ['계절'] ['계절'] ['계절'] ['가족'] ['친구'] ['안주'] ['안주'] ['안주'] ['안주'] ['안주'] ['부모님'] ['부모님'] ['커플', '파티', '계절'] ['명절', '명절'] ['가족', '친구', '부모님', '커플', '크리스마스', '선물'] ['친구', '선물'] ['친구', '선물'] ['추천'] ['추천'] ['추천'] ['계절', '계절'] ['친구', '계절'] ['안주', '안주', '안주'] ['안주', '안주', '안주'] ['명절'] ['부모님', '안주', '안주'] ['커플'] ['명절', '계절'] ['혼술'] ['친구', '친구', '혼술', '선물'] ['계절', '안주'] ['디저트', '안주'] ['혼술', '안주'] ['반주']",명절 선물 안주 반주 파티 계절 가족 캠핑 추천 커플 크리스마스 디저트 친구 부모님 혼술
36,"['디저트'] ['디저트'] ['디저트'] ['디저트'] ['디저트'] ['디저트'] ['디저트'] ['디저트'] ['디저트'] ['디저트'] ['디저트'] ['디저트'] ['디저트'] ['디저트'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['친구', '파티', '선물'] ['친구', '파티', '선물'] ['친구', '파티', '선물'] ['친구', '파티', '선물'] ['친구', '파티', '선물'] ['친구', '파티', '선물'] ['친구', '파티', '선물'] ['친구', '파티', '선물'] ['친구', '파티', '선물'] ['친구', '파티', '선물'] ['친구', '파티', '선물'] ['추천'] ['추천'] ['추천'] ['추천'] ['파티', '선물'] ['파티', '선물'] ['파티', '선물'] ['파티', '선물'] ['파티', '선물'] ['파티', '선물'] ['파티', '선물'] ['파티', '선물'] ['추천', '선물'] ['추천', '선물'] ['추천', '선물'] ['친구', '반주'] ['친구', '반주'] ['친구', '반주'] ['파티', '파티'] ['파티', '파티'] ['파티', '파티'] ['친구', '선물', '디저트'] ['친구'] ['친구'] ['친구'] ['추천', '안주'] ['계절'] ['명절'] ['커플'] ['커플'] ['혼술'] ['부모님', '커플'] ['커플', '기념일'] ['친구', '선물'] ['커플', '파티', '파티'] ['추천', '디저트'] ['친구', '기념일'] ['부모님']",명절 선물 기념일 반주 안주 파티 계절 부모님 디저트 추천 커플 친구 혼술
39,"['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['선물'] ['가족', '명절'] ['가족', '명절'] ['가족', '명절'] ['가족', '명절'] ['가족', '명절'] ['가족', '명절'] ['가족', '명절'] ['가족', '명절'] ['가족', '명절'] ['가족', '명절'] ['가족', '명절'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['명절', '선물'] ['반주', '반주', '안주'] ['반주', '반주', '안주'] ['반주', '반주', '안주'] ['반주', '반주', '안주'] ['반주', '반주', '안주'] ['반주', '반주', '안주'] ['반주', '반주', '안주'] ['반주', '반주', '안주'] ['반주', '반주', '안주'] ['반주', '반주', '안주'] ['반주', '반주', '안주'] ['친구', '크리스마스', '선물']",명절 선물 반주 안주 가족 크리스마스 친구
45,,
52,"['친구', '선물'] ['선물']",선물 친구
53,['선물'] ['선물'] ['선물'],선물
